Date,Batch_ID,Product,Supplier,Region,Shift,Production_Tons,Quality_Status,Defect_Type,Resolution_Days,Inspection_Score,Production_Cost_EUR
2025-01-10,BATCH-0975,Cat Food Standard,Supplier F,Dublin,Night,27.1,Pass,No Defect,0,94.9,22086.9
2025-01-10,BATCH-0563,Dog Food Standard,Supplier G,Cork,Day,19.05,Pass,No Defect,0,96.3,14717.5
2025-01-10,BATCH-0667,Cat Food Standard,Supplier I,Cork,Day,33.56,Pass,No Defect,0,94.8,29146.26
2025-01-11,BATCH-0783,Dog Food Standard,Supplier G,Galway,Day,19.46,Pass,No Defect,0,84.9,15155.81
2025-01-11,BATCH-0803,Livestock Feed,Supplier I,Limerick,Day,18.7,Pass,No Defect,0,87.3,11922.69
2025-01-11,BATCH-0612,Cat Food Premium,Supplier J,Dublin,Day,14.33,Fail,Packaging,5,75.8,14470.6
2025-01-11,BATCH-0628,Dog Food Premium,Supplier B,Galway,Day,18.13,Fail,Packaging,10,76.9,17437.18
2025-01-12,BATCH-0051,Livestock Feed,Supplier H,Cork,Day,12.8,Pass,No Defect,0,93.9,6897.32
2025-01-13,BATCH-0533,Cat Food Standard,Supplier D,Limerick,Night,13.88,Pass,No Defect,0,89.4,10590.33
2025-01-13,BATCH-0029,Dog Food Premium,Supplier G,Cork,Night,21.26,Pass,No Defect,0,95.8,20432.64
2025-01-13,BATCH-0262,Livestock Feed,Supplier G,Dublin,Day,22.76,Pass,No Defect,0,96.0,15614.94
2025-01-13,BATCH-0377,Cat Food Premium,Supplier J,Galway,Day,12.08,Pass,No Defect,0,91.4,12166.1
2025-01-14,BATCH-0890,Dog Food Standard,Supplier D,Limerick,Day,19.83,Fail,Microbiological,11,75.4,15024.2
2025-01-15,BATCH-0644,Dog Food Standard,Supplier E,Dublin,Night,22.89,Pass,No Defect,0,94.7,15318.26
2025-01-15,BATCH-0906,Dog Food Standard,Supplier D,Galway,Night,19.45,Pass,No Defect,0,85.7,15645.05
2025-01-15,BATCH-0689,Cat Food Premium,Supplier B,Dublin,Day,23.29,Pass,No Defect,0,90.3,24722.29
2025-01-16,BATCH-0999,Dog Food Premium,Supplier F,Cork,Night,25.51,Pass,No Defect,0,84.9,26187.9
2025-01-16,BATCH-0632,Dog Food Premium,Supplier J,Limerick,Day,13.36,Fail,Moisture,15,76.0,12994.66
2025-01-17,BATCH-0287,Dog Food Standard,Supplier G,Dublin,Day,19.23,Pass,No Defect,0,87.6,15189.65
2025-01-17,BATCH-0883,Cat Food Premium,Supplier I,Cork,Day,19.92,Pass,No Defect,0,94.5,20746.22
2025-01-18,BATCH-0392,Dog Food Premium,Supplier C,Cork,Day,9.73,Pass,No Defect,0,97.0,8974.92
2025-01-18,BATCH-0692,Cat Food Standard,Supplier A,Dublin,Day,20.2,Pass,No Defect,0,100.0,14442.51
2025-01-18,BATCH-0534,Livestock Feed,Supplier E,Dublin,Day,18.42,Pass,No Defect,0,91.2,9740.3
2025-01-18,BATCH-0829,Dog Food Standard,Supplier G,Galway,Day,12.04,Pass,No Defect,0,83.9,8438.92
2025-01-18,BATCH-0027,Cat Food Premium,Supplier F,Galway,Day,14.25,Fail,Packaging,6,63.6,14085.7
2025-01-20,BATCH-0201,Dog Food Standard,Supplier G,Cork,Day,18.55,Fail,Packaging,7,72.0,16894.31
2025-01-20,BATCH-0050,Dog Food Premium,Supplier I,Dublin,Day,13.51,Pass,No Defect,0,88.9,14476.64
2025-01-20,BATCH-0399,Dog Food Standard,Supplier B,Limerick,Day,14.47,Pass,No Defect,0,91.5,11228.73
2025-01-21,BATCH-0799,Dog Food Premium,Supplier F,Cork,Night,23.83,Pass,No Defect,0,89.6,20970.26
2025-01-21,BATCH-0851,Dog Food Premium,Supplier B,Dublin,Night,14.75,Pass,No Defect,0,91.7,14698.15
2025-01-21,BATCH-0228,Dog Food Premium,Supplier E,Cork,Night,21.42,Pass,No Defect,0,87.2,20228.02
2025-01-22,BATCH-0024,Dog Food Standard,Supplier F,Limerick,Day,8.32,Pass,No Defect,0,100.0,5900.2
2025-01-23,BATCH-0196,Cat Food Standard,Supplier G,Cork,Night,19.03,Pass,No Defect,0,93.0,14228.57
2025-01-23,BATCH-0727,Cat Food Standard,Supplier I,Dublin,Day,18.03,Pass,No Defect,0,88.6,13127.79
2025-01-24,BATCH-0281,Cat Food Standard,Supplier I,Limerick,Day,14.38,Pass,No Defect,0,96.2,11895.79
2025-01-24,BATCH-0275,Cat Food Standard,Supplier A,Galway,Night,15.95,Pass,No Defect,0,100.0,10758.07
2025-01-24,BATCH-0642,Livestock Feed,Supplier F,Galway,Day,23.03,Fail,Microbiological,5,71.4,16050.26
2025-01-25,BATCH-0107,Livestock Feed,Supplier J,Dublin,Day,11.62,Fail,Packaging,1,76.2,6450.69
2025-01-25,BATCH-0177,Cat Food Standard,Supplier B,Dublin,Day,20.65,Pass,No Defect,0,92.2,16845.65
2025-01-25,BATCH-0457,Dog Food Premium,Supplier B,Galway,Day,12.97,Fail,Moisture,15,88.3,12437.01
2025-01-26,BATCH-0614,Dog Food Standard,Supplier C,Cork,Day,15.73,Pass,No Defect,0,92.6,13584.01
2025-01-26,BATCH-0960,Cat Food Premium,Supplier J,Dublin,Day,20.6,Pass,No Defect,0,94.8,21422.77
2025-01-26,BATCH-0363,Cat Food Standard,Supplier H,Cork,Night,19.31,Fail,Moisture,1,81.5,16218.79
2025-01-27,BATCH-0268,Dog Food Premium,Supplier G,Cork,Day,18.3,Pass,No Defect,0,94.8,18238.56
2025-01-27,BATCH-0989,Dog Food Standard,Supplier F,Cork,Night,19.79,Pass,No Defect,0,90.7,14715.27
2025-01-27,BATCH-0503,Dog Food Standard,Supplier D,Dublin,Day,15.25,Pass,No Defect,0,93.6,12793.02
2025-01-28,BATCH-0717,Cat Food Standard,Supplier F,Galway,Night,19.29,Pass,No Defect,0,87.8,17566.72
2025-01-28,BATCH-0821,Cat Food Premium,Supplier H,Galway,Day,8.64,Pass,No Defect,0,90.6,8463.79
2025-01-28,BATCH-0052,Dog Food Premium,Supplier I,Dublin,Day,20.86,Fail,Moisture,5,69.5,21657.51
2025-01-28,BATCH-0462,Cat Food Standard,Supplier A,Limerick,Night,27.84,Pass,No Defect,0,97.6,22073.83
2025-01-28,BATCH-0787,Dog Food Standard,Supplier C,Cork,Day,21.49,Pass,No Defect,0,88.1,15973.85
2025-01-28,BATCH-0189,Dog Food Standard,Supplier J,Dublin,Day,14.22,Pass,No Defect,0,96.0,9594.11
2025-01-28,BATCH-0596,Dog Food Standard,Supplier H,Dublin,Day,20.36,Pass,No Defect,0,89.7,14394.97
2025-01-29,BATCH-0841,Livestock Feed,Supplier H,Cork,Day,12.51,Pass,No Defect,0,90.5,8014.31
2025-01-30,BATCH-0447,Dog Food Premium,Supplier B,Galway,Night,17.51,Pass,No Defect,0,92.8,17617.84
2025-01-30,BATCH-0532,Dog Food Standard,Supplier J,Cork,Night,21.54,Pass,No Defect,0,85.8,19922.75
2025-01-30,BATCH-0409,Cat Food Standard,Supplier B,Dublin,Day,16.88,Pass,No Defect,0,88.6,12694.43
2025-01-31,BATCH-0277,Cat Food Standard,Supplier I,Galway,Day,12.64,Pass,No Defect,0,94.7,9186.43
2025-01-31,BATCH-0777,Dog Food Premium,Supplier I,Dublin,Day,18.18,Pass,No Defect,0,97.2,16796.59
2025-02-01,BATCH-0371,Livestock Feed,Supplier D,Dublin,Day,27.78,Pass,No Defect,0,95.0,19041.62
2025-02-01,BATCH-0492,Cat Food Standard,Supplier J,Dublin,Day,24.26,Pass,No Defect,0,86.0,19240.76
2025-02-01,BATCH-0530,Livestock Feed,Supplier I,Dublin,Day,17.6,Pass,No Defect,0,92.1,10300.44
2025-02-02,BATCH-0826,Dog Food Standard,Supplier C,Limerick,Day,20.15,Pass,No Defect,0,100.0,16336.86
2025-02-02,BATCH-0038,Dog Food Standard,Supplier C,Limerick,Day,12.28,Pass,No Defect,0,99.2,9768.48
2025-02-03,BATCH-0487,Dog Food Standard,Supplier I,Dublin,Day,17.35,Pass,No Defect,0,89.3,12553.81
2025-02-03,BATCH-0620,Dog Food Premium,Supplier C,Dublin,Night,21.26,Pass,No Defect,0,93.6,18753.87
2025-02-04,BATCH-0478,Livestock Feed,Supplier A,Galway,Day,22.01,Fail,Composition,15,78.3,12857.82
2025-02-04,BATCH-0230,Dog Food Standard,Supplier D,Dublin,Day,15.82,Fail,Labelling,6,82.8,12735.66
2025-02-04,BATCH-0523,Dog Food Standard,Supplier G,Galway,Night,19.82,Pass,No Defect,0,89.6,15433.17
2025-02-04,BATCH-0779,Cat Food Premium,Supplier E,Dublin,Night,21.48,Pass,No Defect,0,93.5,25019.12
2025-02-05,BATCH-0167,Dog Food Premium,Supplier A,Cork,Day,10.24,Pass,No Defect,0,96.6,10796.17
2025-02-06,BATCH-0674,Cat Food Standard,Supplier F,Dublin,Day,17.93,Pass,No Defect,0,93.5,12764.54
2025-02-07,BATCH-0982,Dog Food Premium,Supplier I,Dublin,Day,8.61,Pass,No Defect,0,94.9,8063.0
2025-02-07,BATCH-0765,Cat Food Standard,Supplier E,Galway,Night,14.27,Pass,No Defect,0,90.4,11611.53
2025-02-07,BATCH-0905,Cat Food Standard,Supplier G,Cork,Day,14.49,Pass,No Defect,0,93.0,10388.88
2025-02-08,BATCH-0126,Cat Food Premium,Supplier D,Limerick,Night,20.15,Pass,No Defect,0,83.2,21451.66
2025-02-08,BATCH-0425,Cat Food Premium,Supplier A,Galway,Night,20.55,Pass,No Defect,0,96.7,23126.11
2025-02-09,BATCH-0662,Dog Food Premium,Supplier A,Cork,Night,16.41,Pass,No Defect,0,94.7,15067.85
2025-02-10,BATCH-0233,Dog Food Premium,Supplier D,Limerick,Night,29.26,Pass,No Defect,0,94.2,27788.52
2025-02-10,BATCH-0790,Dog Food Standard,Supplier F,Galway,Night,10.61,Pass,No Defect,0,87.9,9128.16
2025-02-10,BATCH-0715,Cat Food Premium,Supplier H,Dublin,Day,13.12,Pass,No Defect,0,88.0,13542.16
2025-02-10,BATCH-0276,Cat Food Premium,Supplier B,Galway,Night,24.18,Fail,Composition,13,73.8,24924.61
2025-02-11,BATCH-0856,Cat Food Premium,Supplier G,Cork,Night,17.37,Pass,No Defect,0,98.9,19234.19
2025-02-11,BATCH-0255,Cat Food Standard,Supplier C,Dublin,Day,15.46,Pass,No Defect,0,94.5,11525.48
2025-02-11,BATCH-0080,Dog Food Premium,Supplier A,Cork,Night,15.7,Pass,No Defect,0,88.5,14585.45
2025-02-11,BATCH-0592,Dog Food Premium,Supplier D,Dublin,Night,21.14,Pass,No Defect,0,94.1,22440.83
2025-02-12,BATCH-0995,Cat Food Standard,Supplier B,Dublin,Day,18.64,Pass,No Defect,0,90.0,15471.54
2025-02-12,BATCH-0649,Dog Food Premium,Supplier F,Cork,Day,12.93,Pass,No Defect,0,89.6,11631.77
2025-02-12,BATCH-0431,Dog Food Premium,Supplier C,Cork,Day,22.62,Fail,Packaging,8,75.0,21565.36
2025-02-12,BATCH-0699,Dog Food Premium,Supplier J,Galway,Day,19.93,Pass,No Defect,0,100.0,17665.23
2025-02-13,BATCH-0520,Cat Food Standard,Supplier F,Cork,Day,9.77,Fail,Composition,6,68.1,8893.95
2025-02-13,BATCH-0430,Livestock Feed,Supplier F,Limerick,Day,12.95,Fail,Moisture,8,71.0,7203.12
2025-02-14,BATCH-0455,Cat Food Premium,Supplier C,Limerick,Day,20.98,Pass,No Defect,0,100.0,21414.71
2025-02-14,BATCH-0266,Livestock Feed,Supplier F,Dublin,Day,21.3,Pass,No Defect,0,94.7,14404.21
2025-02-14,BATCH-0121,Livestock Feed,Supplier C,Limerick,Day,17.24,Pass,No Defect,0,92.9,9850.13
2025-02-15,BATCH-0053,Dog Food Premium,Supplier F,Limerick,Night,17.34,Pass,No Defect,0,94.8,16916.61
2025-02-15,BATCH-0738,Cat Food Premium,Supplier H,Limerick,Day,10.42,Pass,No Defect,0,91.5,10157.41
2025-02-15,BATCH-0439,Cat Food Standard,Supplier I,Limerick,Night,19.75,Pass,No Defect,0,92.4,16435.73
2025-02-16,BATCH-0929,Dog Food Premium,Supplier I,Dublin,Day,18.42,Pass,No Defect,0,95.6,18014.71
2025-02-16,BATCH-0442,Cat Food Premium,Supplier F,Galway,Day,18.86,Pass,No Defect,0,86.6,20381.09
2025-02-16,BATCH-0306,Cat Food Standard,Supplier G,Dublin,Night,16.23,Pass,No Defect,0,88.7,12297.63
2025-02-16,BATCH-0446,Livestock Feed,Supplier D,Galway,Day,19.38,Pass,No Defect,0,90.2,8132.43
2025-02-16,BATCH-0587,Livestock Feed,Supplier H,Limerick,Day,26.64,Pass,No Defect,0,92.0,14796.85
2025-02-16,BATCH-0316,Dog Food Standard,Supplier A,Galway,Day,16.2,Pass,No Defect,0,91.3,11023.08
2025-02-17,BATCH-0322,Dog Food Premium,Supplier H,Cork,Night,16.85,Pass,No Defect,0,94.0,16469.04
2025-02-18,BATCH-0190,Dog Food Standard,Supplier D,Galway,Day,14.78,Pass,No Defect,0,98.0,12055.61
2025-02-18,BATCH-0909,Cat Food Standard,Supplier G,Limerick,Night,20.23,Pass,No Defect,0,95.6,16585.8
2025-02-18,BATCH-0602,Dog Food Premium,Supplier D,Dublin,Day,15.65,Pass,No Defect,0,92.1,15008.4
2025-02-19,BATCH-0419,Dog Food Standard,Supplier D,Galway,Day,27.15,Fail,Microbiological,12,81.1,19966.62
2025-02-19,BATCH-0486,Cat Food Premium,Supplier H,Galway,Day,17.56,Pass,No Defect,0,89.7,18575.91
2025-02-19,BATCH-0466,Dog Food Premium,Supplier F,Dublin,Night,18.3,Pass,No Defect,0,91.4,16389.11
2025-02-20,BATCH-0957,Dog Food Premium,Supplier D,Dublin,Day,18.82,Pass,No Defect,0,88.1,19927.45
2025-02-20,BATCH-0992,Dog Food Premium,Supplier J,Dublin,Night,18.61,Pass,No Defect,0,85.5,20337.61
2025-02-20,BATCH-0700,Dog Food Standard,Supplier F,Cork,Day,15.86,Pass,No Defect,0,99.3,12449.31
2025-02-20,BATCH-0252,Dog Food Premium,Supplier E,Dublin,Night,17.53,Pass,No Defect,0,94.9,17420.24
2025-02-22,BATCH-0904,Cat Food Premium,Supplier A,Cork,Day,12.68,Pass,No Defect,0,88.6,14577.76
2025-02-22,BATCH-0994,Cat Food Standard,Supplier G,Dublin,Day,17.45,Pass,No Defect,0,94.1,14116.26
2025-02-22,BATCH-0818,Dog Food Standard,Supplier G,Dublin,Day,17.32,Pass,No Defect,0,92.5,13965.79
2025-02-22,BATCH-0056,Livestock Feed,Supplier J,Cork,Day,13.76,Pass,No Defect,0,95.2,7758.24
2025-02-22,BATCH-0269,Dog Food Standard,Supplier I,Dublin,Night,11.55,Pass,No Defect,0,100.0,8328.3
2025-02-22,BATCH-0655,Dog Food Premium,Supplier D,Dublin,Day,17.99,Pass,No Defect,0,91.3,15022.73
2025-02-23,BATCH-0782,Dog Food Premium,Supplier B,Limerick,Day,20.83,Pass,No Defect,0,96.6,20025.05
2025-02-23,BATCH-0873,Cat Food Standard,Supplier C,Dublin,Day,26.93,Pass,No Defect,0,86.9,21410.09
2025-02-23,BATCH-0441,Cat Food Premium,Supplier A,Cork,Day,9.56,Pass,No Defect,0,87.4,9009.02
2025-02-23,BATCH-0433,Livestock Feed,Supplier C,Limerick,Day,16.71,Pass,No Defect,0,84.1,11510.29
2025-02-24,BATCH-0514,Cat Food Standard,Supplier H,Galway,Night,21.92,Pass,No Defect,0,84.4,18791.83
2025-02-24,BATCH-0333,Livestock Feed,Supplier D,Galway,Day,12.54,Pass,No Defect,0,89.0,7417.64
2025-02-25,BATCH-0895,Cat Food Standard,Supplier J,Cork,Night,14.85,Pass,No Defect,0,95.3,12947.05
2025-02-26,BATCH-0956,Cat Food Standard,Supplier A,Dublin,Day,11.71,Pass,No Defect,0,86.4,10219.88
2025-02-26,BATCH-0574,Cat Food Standard,Supplier C,Cork,Day,18.85,Pass,No Defect,0,99.2,16537.47
2025-02-26,BATCH-0561,Cat Food Standard,Supplier B,Cork,Night,12.1,Pass,No Defect,0,85.7,10963.87
2025-02-27,BATCH-0657,Cat Food Premium,Supplier C,Galway,Day,19.19,Pass,No Defect,0,90.2,18663.55
2025-02-27,BATCH-0378,Dog Food Standard,Supplier G,Dublin,Day,17.65,Pass,No Defect,0,91.0,14356.5
2025-02-27,BATCH-0933,Cat Food Premium,Supplier C,Cork,Day,19.64,Pass,No Defect,0,98.4,19535.57
2025-02-28,BATCH-0788,Dog Food Premium,Supplier C,Cork,Night,14.82,Fail,Microbiological,13,63.7,14708.84
2025-02-28,BATCH-0482,Cat Food Standard,Supplier A,Cork,Day,25.37,Pass,No Defect,0,93.4,22830.34
2025-02-28,BATCH-0285,Dog Food Standard,Supplier C,Galway,Night,17.79,Pass,No Defect,0,89.2,14426.71
2025-02-28,BATCH-0865,Livestock Feed,Supplier B,Cork,Night,18.48,Pass,No Defect,0,91.5,10211.28
2025-02-28,BATCH-0293,Dog Food Standard,Supplier A,Limerick,Day,20.44,Pass,No Defect,0,89.4,17747.25
2025-03-01,BATCH-0186,Dog Food Premium,Supplier A,Limerick,Day,28.79,Pass,No Defect,0,87.5,27167.89
2025-03-01,BATCH-0179,Dog Food Standard,Supplier C,Cork,Day,17.5,Pass,No Defect,0,98.6,11729.33
2025-03-02,BATCH-0213,Livestock Feed,Supplier J,Cork,Night,20.76,Pass,No Defect,0,86.6,12576.44
2025-03-02,BATCH-0544,Livestock Feed,Supplier C,Cork,Day,16.51,Pass,No Defect,0,97.4,12783.1
2025-03-02,BATCH-0863,Cat Food Standard,Supplier F,Cork,Night,13.89,Fail,Moisture,11,64.9,12475.38
2025-03-02,BATCH-0945,Cat Food Standard,Supplier A,Galway,Day,22.95,Pass,No Defect,0,93.8,21303.86
2025-03-02,BATCH-0791,Dog Food Standard,Supplier A,Limerick,Day,22.53,Pass,No Defect,0,92.5,17248.53
2025-03-02,BATCH-0774,Livestock Feed,Supplier D,Dublin,Night,12.53,Pass,No Defect,0,93.4,7538.12
2025-03-03,BATCH-0350,Cat Food Standard,Supplier C,Limerick,Day,13.91,Pass,No Defect,0,94.2,10897.45
2025-03-03,BATCH-0348,Dog Food Premium,Supplier J,Cork,Night,11.72,Pass,No Defect,0,95.8,11733.92
2025-03-03,BATCH-0609,Dog Food Standard,Supplier D,Cork,Day,22.16,Pass,No Defect,0,89.7,17120.11
2025-03-03,BATCH-0961,Dog Food Standard,Supplier C,Limerick,Night,5.61,Pass,No Defect,0,92.4,3707.56
2025-03-03,BATCH-0605,Livestock Feed,Supplier B,Galway,Day,16.5,Pass,No Defect,0,91.7,9234.45
2025-03-03,BATCH-0009,Dog Food Standard,Supplier C,Cork,Day,17.59,Pass,No Defect,0,93.3,13862.11
2025-03-04,BATCH-0750,Cat Food Premium,Supplier A,Cork,Day,13.02,Pass,No Defect,0,92.1,11856.91
2025-03-04,BATCH-0222,Cat Food Premium,Supplier E,Galway,Day,17.06,Pass,No Defect,0,92.0,18921.99
2025-03-04,BATCH-0881,Cat Food Premium,Supplier G,Dublin,Day,21.41,Pass,No Defect,0,88.3,24033.42
2025-03-04,BATCH-0554,Dog Food Standard,Supplier B,Dublin,Night,24.42,Pass,No Defect,0,99.7,15004.05
2025-03-05,BATCH-0582,Cat Food Premium,Supplier A,Limerick,Day,9.3,Pass,No Defect,0,82.3,9177.72
2025-03-06,BATCH-0054,Cat Food Premium,Supplier A,Cork,Night,19.29,Pass,No Defect,0,90.9,21681.01
2025-03-06,BATCH-0279,Livestock Feed,Supplier C,Galway,Night,18.51,Pass,No Defect,0,88.3,10274.12
2025-03-06,BATCH-0464,Dog Food Standard,Supplier C,Galway,Day,23.71,Pass,No Defect,0,91.3,15554.88
2025-03-07,BATCH-0860,Cat Food Standard,Supplier C,Dublin,Day,13.61,Pass,No Defect,0,91.2,11402.36
2025-03-07,BATCH-0583,Dog Food Premium,Supplier B,Limerick,Day,14.18,Pass,No Defect,0,95.3,14342.9
2025-03-08,BATCH-0815,Cat Food Premium,Supplier C,Cork,Night,15.34,Pass,No Defect,0,88.9,17448.47
2025-03-08,BATCH-0741,Cat Food Standard,Supplier G,Galway,Day,21.13,Pass,No Defect,0,94.0,15755.08
2025-03-09,BATCH-0517,Cat Food Standard,Supplier B,Cork,Day,19.12,Pass,No Defect,0,99.4,15280.98
2025-03-09,BATCH-0323,Livestock Feed,Supplier I,Cork,Night,20.1,Pass,No Defect,0,90.5,11419.54
2025-03-09,BATCH-0725,Cat Food Premium,Supplier F,Dublin,Day,18.75,Pass,No Defect,0,92.4,18100.06
2025-03-09,BATCH-0254,Livestock Feed,Supplier I,Cork,Day,16.9,Pass,No Defect,0,87.5,11722.91
2025-03-09,BATCH-0951,Cat Food Premium,Supplier A,Cork,Day,24.81,Pass,No Defect,0,96.1,24560.8
2025-03-10,BATCH-0061,Livestock Feed,Supplier E,Dublin,Day,7.69,Pass,No Defect,0,93.9,5848.39
2025-03-10,BATCH-0044,Dog Food Standard,Supplier I,Cork,Day,16.29,Pass,No Defect,0,96.3,12624.08
2025-03-10,BATCH-0332,Dog Food Premium,Supplier H,Cork,Day,15.54,Pass,No Defect,0,97.1,15760.12
2025-03-10,BATCH-0473,Dog Food Standard,Supplier D,Limerick,Night,16.42,Pass,No Defect,0,90.4,11091.94
2025-03-11,BATCH-0679,Cat Food Premium,Supplier E,Cork,Night,23.02,Pass,No Defect,0,96.1,25251.25
2025-03-11,BATCH-0618,Cat Food Standard,Supplier F,Limerick,Day,12.63,Pass,No Defect,0,91.1,10450.98
2025-03-12,BATCH-0926,Cat Food Premium,Supplier B,Dublin,Day,10.62,Pass,No Defect,0,88.5,12301.51
2025-03-12,BATCH-0521,Cat Food Premium,Supplier C,Dublin,Night,22.62,Fail,Composition,11,64.7,24482.3
2025-03-12,BATCH-0867,Dog Food Premium,Supplier J,Dublin,Day,19.82,Pass,No Defect,0,89.2,18620.61
2025-03-12,BATCH-0494,Cat Food Premium,Supplier J,Cork,Day,16.8,Pass,No Defect,0,92.2,18563.38
2025-03-13,BATCH-0197,Dog Food Standard,Supplier E,Limerick,Day,22.08,Pass,No Defect,0,93.4,18237.95
2025-03-13,BATCH-0564,Cat Food Premium,Supplier B,Cork,Day,22.99,Pass,No Defect,0,87.6,23743.9
2025-03-13,BATCH-0749,Cat Food Premium,Supplier J,Dublin,Day,18.97,Pass,No Defect,0,89.3,18384.0
2025-03-14,BATCH-0475,Cat Food Standard,Supplier B,Galway,Night,11.03,Pass,No Defect,0,85.8,8750.17
2025-03-14,BATCH-0388,Cat Food Standard,Supplier H,Cork,Night,13.26,Pass,No Defect,0,85.5,12263.4
2025-03-14,BATCH-0813,Cat Food Standard,Supplier C,Galway,Night,14.54,Pass,No Defect,0,96.7,12791.62
2025-03-15,BATCH-0506,Livestock Feed,Supplier J,Cork,Night,26.03,Pass,No Defect,0,90.8,16390.93
2025-03-15,BATCH-0500,Cat Food Premium,Supplier A,Limerick,Night,13.03,Pass,No Defect,0,92.3,12887.29
2025-03-15,BATCH-0123,Dog Food Standard,Supplier B,Dublin,Day,18.97,Pass,No Defect,0,90.2,15639.21
2025-03-15,BATCH-0206,Livestock Feed,Supplier D,Dublin,Day,5.0,Pass,No Defect,0,80.8,3051.73
2025-03-15,BATCH-0295,Cat Food Standard,Supplier J,Limerick,Day,11.38,Pass,No Defect,0,92.2,8916.78
2025-03-15,BATCH-0319,Cat Food Standard,Supplier J,Galway,Day,14.86,Fail,Labelling,11,88.1,11395.28
2025-03-17,BATCH-0898,Dog Food Premium,Supplier H,Limerick,Night,13.15,Pass,No Defect,0,88.4,11913.48
2025-03-17,BATCH-0237,Cat Food Premium,Supplier F,Dublin,Day,16.92,Pass,No Defect,0,95.6,18584.82
2025-03-19,BATCH-0165,Cat Food Premium,Supplier I,Cork,Night,26.2,Pass,No Defect,0,88.8,30147.35
2025-03-21,BATCH-0638,Cat Food Standard,Supplier C,Cork,Day,20.54,Pass,No Defect,0,90.5,16772.07
2025-03-21,BATCH-0590,Livestock Feed,Supplier F,Cork,Night,18.36,Pass,No Defect,0,95.2,10209.63
2025-03-23,BATCH-0880,Cat Food Premium,Supplier J,Galway,Day,19.96,Pass,No Defect,0,96.8,21654.74
2025-03-24,BATCH-0180,Dog Food Premium,Supplier E,Dublin,Day,16.06,Pass,No Defect,0,95.5,15903.01
2025-03-24,BATCH-0758,Dog Food Premium,Supplier E,Limerick,Day,5.0,Pass,No Defect,0,90.0,5307.76
2025-03-25,BATCH-0550,Dog Food Premium,Supplier E,Cork,Day,23.97,Pass,No Defect,0,90.2,25741.92
2025-03-25,BATCH-0043,Cat Food Standard,Supplier F,Dublin,Day,14.93,Fail,Labelling,3,71.8,13955.65
2025-03-25,BATCH-0704,Dog Food Standard,Supplier J,Dublin,Day,7.98,Pass,No Defect,0,84.4,6471.06
2025-03-26,BATCH-0627,Livestock Feed,Supplier C,Cork,Day,10.34,Pass,No Defect,0,89.3,6427.53
